0	-5.061652975	-6.388008422	-10.27900048	-1.407325427	-4.541281616	-9.028756078	-4.268789361	-8.276992679	-4.787510164	-7.970794137	-10.60791042	-0.726141613
0.1	-9.779985146	-1.972610479	-6.416736214	-6.490013246	-7.499022194	-10.12170629	-8.664905571	-5.678978322	-8.719435676	-9.032986158	-9.698619834	-0.019370411
0.2	-0.05470706	-7.934287516	-1.915172561	-6.446886391	-5.74592726	-6.672470619	-0.950789512	-5.123120665	-0.960473039	-5.212957471	-7.485989511	-10.3185344
0.3	-10.85483884	-11.19183082	-6.027166136	-10.04758373	-1.27772604	-7.863764196	-7.990203651	-8.935611306	-3.455598206	-2.668927387	-6.639952708	-3.003336216
0.4	-1.322434661	-1.897512402	-5.646798896	-2.824529266	-9.435496618	-9.187928742	-4.762349472	-9.651765836	-0.050166928	-9.048352721	-4.200115122	-3.831748506
0.5	-7.39454547	-8.164321908	-7.844613991	-8.491796048	-6.085058752	-3.012428314	-9.356629242	0.089889815	-0.993862403	-2.567124442	-4.046568086	-5.883653169
0.6	-6.221976335	-6.633835151	-6.142760372	-4.844436249	-9.169291864	-7.253204007	-0.727217681	-1.224369281	-1.217193817	-4.427203991	-3.452683849	-9.309320849
0.7	-1.381078122	-5.48451934	-6.615710515	-10.73194488	-9.867047075	-3.681301476	-6.944504876	-3.977842675	-4.562443962	-6.956871473	-4.548521445	-8.097167634
0.8	-4.027424736	-1.03815312	-7.135101666	-10.24930809	-2.251887222	-1.69394179	-7.069007135	-2.256463452	-2.125950669	-4.793613257	-5.566182264	-4.948476455
0.9	-10.70067172	-4.087569766	-5.491951588	-3.555274221	-9.642577706	-7.784726343	-2.744622929	-9.292088451	-9.660445374	-8.177218667	-5.991200011	-2.893725866
1	-0.622973843	-0.329312456	-0.047775473	-1.508264044	-8.156418224	-4.138312414	-1.296187665	-8.962316843	-5.355872313	-5.026095146	-3.460015793	-9.253645737
1.1	-10.81210882	-8.30106479	-4.85554143	-0.829163801	-3.71183214	-7.31430386	-4.653105821	-8.755885102	-10.50348585	-1.126021163	-3.714536469	-6.477240867
1.2	-1.934787396	-9.850785974	-4.553346446	-2.526714108	-5.751300509	-3.247935199	-6.15177309	-2.984175283	-6.534051902	-4.998371385	-8.530905388	-2.575262224
1.3	-10.03667779	-3.708391852	-5.277952477	-3.019479652	-0.298661882	-1.855872478	-4.318377923	-4.643158341	-10.87185544	-2.379017936	-6.514733575	-3.28232297
1.4	-7.512974251	-1.278754262	-9.974367383	-2.69305328	-6.952971435	-10.53529351	-9.141743023	-5.286100665	-10.70035553	-5.452717068	-7.958384232	-6.240440174
1.5	-0.144688273	-8.435944867	-7.025905522	-0.612753259	-3.352921602	-2.492872915	-5.971136673	-4.084848647	-5.50762159	-5.508457578	-10.10988581	-5.946720292
1.6	-10.72117467	-6.561806379	-7.980933019	-8.768375898	-3.91948127	-4.96068002	-7.802620965	-6.817628312	-1.261335275	-7.470363279	-8.64581156	-10.03937237
1.7	-0.659701468	-4.869317754	-7.531003715	0.04245667	-4.46127138	-3.839271741	-7.278142088	-3.682609149	-6.730158723	-4.56516622	-5.638184528	-5.939012149
1.8	-3.79013553	-9.136784924	-0.221899494	-0.043027252	-2.785040846	-3.330254176	-1.071450756	-4.513456175	-5.372163076	-8.245741395	-4.508313674	-8.678730781
1.9	-3.366588537	-3.018286381	-6.775504626	-1.768155857	-2.559106842	-5.741868339	-10.51473352	-3.732230908	-4.861460757	-10.61777967	-10.01374556	-10.97054825
